70|내수(내수2)|127.5548379|36.7110251|놀이터|종로구
71|월암|126.6828638|36.58142637|체력단련시설|종로구
72|청진|126.9798939|37.57139851||종로구
73|원서|126.9886178|37.57839138|운동장|종로구
74|경복(관리:문화재청)|0|0||종로구
75|창덕(관리:문화재청)|0|0||종로구
76|종묘(관리:문화재청)|0|0||종로구
77|창경(관리:문화재청)|0|0||종로구
78|참샘골|127.3202246|37.23255653|놀이터|종로구
79|감나무골|126.9703231|37.61275129|놀이터|종로구
80|새마을|128.4066559|37.36243015|농구장|종로구
81|옥인|126.9623533|37.5823392||종로구
82|인왕|126.9569937|37.5774529||종로구
83|무악|126.9605416|37.57741492|놀이터|종로구
84|연지|127.0008096|37.57573536|놀이터|종로구
85|명륜|126.9981018|37.58808091|노인정,놀이터|종로구
86|경학|126.9965238|37.58467813||종로구
87|지봉골|127.0146211|37.57887576|놀이터|종로구
88|낙산|127.010255|37.57971599|놀이터|종로구
89|창신|127.0172351|37.57059473|놀이터|종로구
90|신문로|126.9724154|37.56906666||종로구
91|후창|126.964602|37.6101343||종로구
92|평창|128.3837912|37.36811142||종로구
93|달바위(돈의문1구역소공원3)|126.9653802|37.57072707||종로구
94|솔빛(돈의문1구역소공원1)|126.9654848|37.56995878||종로구
95|소담(돈의문1구역소공원2)|126.961673|37.57218189||종로구
96|서린|126.9808196|37.56977958||종로구
97|덕수|126.9744393|37.5692765||종로구
98|부암튼튼|127.3830779|36.14419349||종로구
99|의주|126.960155|37.57371483||종로구
100|경희궁<시공원>|126.9688337|37.5707552|운동장,체력단련시설|종로구
101|동묘|127.0183273|37.57297501||종로구
102|도렴|126.9739397|37.57086535||종로구
103|공평1|126.9855081|37.57120553||종로구
104|마로니에|127.0027111|37.5804809||종로구
105|통의동마을마당|126.9736637|37.57863749|놀이터|종로구
106|청운동마을마당|126.9682848|37.59016024||종로구
107|동숭동마을마당|127.0058386|37.58017934||종로구
108|이화장마을마당|127.5221835|37.79773239||종로구
109|쌈지마을마당|127.0120714|37.5776496||종로구
110|종묘광장|126.9946107|37.57194286||종로구
111|무궁화동산|126.9723447|37.58424018|체력단련시설|종로구
112|우정총국주변광장|126.9823688|37.57447875||종로구
113|산마루놀이터|127.0124027|37.57557245|놀이터|종로구
